Tree Broadleaf Evergreen|Tree Broadleaf Deciduous|Tree Needleleaf Evergreen|Tree Needleleaf Deciduous|Shrub Broadleaf Evergreen|Shrub Broadleaf Deciduous|Shrub Needleleaf Evergreen|Shrub Needleleaf Deciduous |Natural Grass|Managed Grass|Bare soil|Water|Snow/Ice|No data
|||||||||||||100
|||||||||100||||
|||||||||100||||
|||||||||100||||
|||||||||100||||
5|5|||5|5|5||15|60||||
5|5|||7.5|10|7.5||25|40||||
90||||5|5||||||||
|70||||15|||15|||||
|70||||15|||15|||||
|30||||25|||35||10|||
||70||5|5|5||15|||||
||70||5|5|5||15|||||
||15|15||5|5||30||30|||
|||70||||15|15|||||
|||70||||15|15|||||
|||30||||25|35||10|||
|30|20|10|5|5|5||15||10|||
10|20|5|5|5|10|5||40|||||
5|10|5||5|10|5||60|||||
||||20|20|20||20||20|||
||||30||30||20||20|||
|||||60|||20||20|||
||||||||60||40|||
||||||||60||40|||
1|3|1||1|3|1||5||85|||
2|6|2||||||5||85|||
||||2|6|2||5||85|||
||||||||15||85|||
30|30|||||||20|||20||
60||||20|||||||20||
|5|10|||10|5||40|||30||
|2.5|2.5||||||15||75|5||
||||||||||100|||
||||||||||100|||
||||||||||100|||
|||||||||||100||
||||||||||||100|
