# Default LCCS to PFT lookup table
LCCS Class|Tree Broadleaf Evergreen|Tree Broadleaf Deciduous|Tree Needleleaf Evergreen|Tree Needleleaf Deciduous|Shrub Broadleaf Evergreen|Shrub Broadleaf Deciduous|Shrub Needleleaf Evergreen|Shrub Needleleaf Deciduous |Natural Grass|Managed Grass|Bare Soil|Water|Snow/Ice|No Data
0||||||||||||||100
10||||||||||100||||
11||||||||||100||||
12||||||50||||50||||
20||||||||||100||||
30|5|5|||5|5|5||15|60||||
40|5|5|||7.5|10|7.5||25|40||||
50|90||||5|5||||||||
60||70||||15|||15|||||
61||70||||15|||15|||||
62||30||||25|||35||10|||
70|||70||5|5|5||15|||||
71|||70||5|5|5||15|||||
72|||30|||5|5||30||30|||
80||||70|5|5|5||15|||||
81||||70|5|5|5||15|||||
82||||30||5|5||30||30|||
90||30|20|10|5|5|5||15||10|||
100|10|20|5|5|5|10|5||40|||||
110|5|10|5||5|10|5||60|||||
120|||||20|20|20||20||20|||
121|||||30||30||20||20|||
122||||||60|||20||20|||
130|||||||||60||40|||
140|||||||||60||40|||
150|1|3|1||1|3|1||5||85|||
151||2|6|2|||||5||85|||
152|||||2|6|2||5||85|||
153|||||||||15||85|||
160|30|30|||||||20|||20||
170|60||||20|||||||20||
180||5|10|||10|5||40|||30||
190||2.5|2.5||||||15||75|5||
200|||||||||||100|||
201|||||||||||100|||
202|||||||||||100|||
210||||||||||||100||
220|||||||||||||100|
